,tanggal_tweet,pengguna,isi_tweet,sentimen
0,2022-10-30 14:27:03+00:00,sayahanyazakie,"RT @maman1965: Orang kota juga tingkahnya lucu kalau ke desa naik kerbau, tanam padi dan panjat pohon. Rela2in bayar ratusan ribu per orang…",0
1,2022-10-30 14:27:02+00:00,Shopeeracunku1,@Omnoto2 @ZoelHelmiLubis1 @detikcom Emang lu kenal?,0
2,2022-10-30 14:26:57+00:00,Irwan7189185522,"@detikcom Ada nggak di Alqur'an dan Hadist?.Jika ada,knp harus tersinggung?.Seharusnya kita berbenah diri,krn yg me… https://t.co/C8bygCqPxg",0
3,2022-10-30 14:26:53+00:00,maudhyputri,@detikcom Norak bgt sih,0
4,2022-10-30 14:26:50+00:00,sonofmomyndady,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
5,2022-10-30 14:26:49+00:00,adore_bil,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
6,2022-10-30 14:26:48+00:00,andradhandra,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
7,2022-10-30 14:26:36+00:00,excelicio,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
8,2022-10-30 14:26:22+00:00,yugyeomoi,Hadeh Gusti https://t.co/hInQNvFfOB,0
9,2022-10-30 14:26:21+00:00,masedoo,"gua udah bilang, bisnis fnb disini kejem2 ke anak buah https://t.co/fYQ1Im1zdm",0
10,2022-10-30 14:26:16+00:00,richathina,"RT @maman1965: Orang kota juga tingkahnya lucu kalau ke desa naik kerbau, tanam padi dan panjat pohon. Rela2in bayar ratusan ribu per orang…",0
11,2022-10-30 14:26:12+00:00,Anonimqone,"@FishmanSoudashu @wijdanr @detikcom @detik_jatim Saya bukan bilang bwi ada mall nya atau gak, sejak tahun 98 saya t… https://t.co/DlpcogCYta",0
12,2022-10-30 14:26:09+00:00,irez_pass10ne,@Anonimqone @wijdanr @detikcom @detik_jatim Baru beberapa tahun belakangan?,0
13,2022-10-30 14:26:06+00:00,rkstmfrl,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
14,2022-10-30 14:25:59+00:00,thasia_AA,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
15,2022-10-30 14:25:35+00:00,SalomonID,"RT @lantip: sementara di sini, yg mestinya bertanggungjawab malah fun football. 

para petinggi kita memang belum genap belajar adab :|",1
16,2022-10-30 14:25:28+00:00,gilangjalu,bikinnya cm 1-2 bulan kali ya https://t.co/jF8PGltArv,0
17,2022-10-30 14:25:28+00:00,Pisces123141,@gforgea @marufins @inifiki @jenikuhibiniu @detikcom @DivHumas_Polri Iyaa apalgi jugaa yg berkeliaran gk cma yg iku… https://t.co/k8CrS21aLS,0
18,2022-10-30 14:25:11+00:00,irez_pass10ne,@Pratama_Gaa @Anonimqone @detikcom @detik_jatim Dan rata² pendatang 😁,0
19,2022-10-30 14:25:11+00:00,detikcom,Tessa Mariska dikabarkan menggelar tumpengan usai Nikita Mirzani ditahan di Rutan Kelas IIB Serang. Lantas apa kata… https://t.co/yXZyanugfv,0
20,2022-10-30 14:25:08+00:00,faizalaziz,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
21,2022-10-30 14:25:06+00:00,detikcom,Seorang narapidana di Lembaga Pemasyarakatan Klas 2A Kediri tewas dikeroyok sesama napi. Polisi pun menetapkan 3 na… https://t.co/62ryXjJHkr,0
22,2022-10-30 14:24:57+00:00,v14nzone,RT @detikcom: Menteri Keuangan Sri Mulyani mengungkap tak kurang dari Rp180 T anggaran dialokasikan untuk pendidikan. Hal itu dilakukan seb…,0
23,2022-10-30 14:24:53+00:00,kawaina_neko,"@AOzhawa @detikcom Masalahnya org2 yg pinter itu ga komen kyk km lah Om
Mreka sibuk dgn dunia belajar &amp; invest nya… https://t.co/sdJpVLJ4L1",0
24,2022-10-30 14:24:51+00:00,jpsatrio,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
25,2022-10-30 14:24:43+00:00,enigmatic_404,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
26,2022-10-30 14:24:43+00:00,SyahdanLobe,"@detikcom Teman teman jika melihat berita tentang gerombolan ini jangan dibaca dan komen. ABAIKAN.

Biar Twitt ini sebagai pengingat.",0
27,2022-10-30 14:24:28+00:00,septianpriyono,"RT @WidasSatyo: Media perkotaan ini kok kayak ""heran"" dan terkesan ""ngejek"" orang desa yg baru pertamakali ngerasain punya mall. 

Itu loh…",0
28,2022-10-30 14:24:26+00:00,Anonimqone,@PermenSeratusan @Pratama_Gaa @detikcom @detik_jatim Iya memang mungkin saya kurang riset. Karna saya tinggal nya d… https://t.co/wgz29xTwzG,0
29,2022-10-30 14:24:25+00:00,dickySNU,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
30,2022-10-30 14:24:09+00:00,RezaFahdini,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
31,2022-10-30 14:23:47+00:00,detikcom,Satu set peta topografi Mars yang baru-baru ini dirilis memberikan bukti baru keberadaan samudra utara kuno di Plan… https://t.co/ApQX2y3mGO,0
32,2022-10-30 14:23:33+00:00,pirmansyahpi2t,Akal²an ... https://t.co/FXPUriROsR,0
33,2022-10-30 14:23:28+00:00,jpsatrio,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
