;Unnamed: 0;tanggal_tweet;pengguna;isi_tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
0;0;2022-10-30 14:27:03+00:00;sayahanyazakie;RT @maman1965: Orang kota juga tingkahnya lucu kalau ke desa naik kerbau, tanam padi dan panjat pohon. Rela2in bayar ratusan ribu per orang…;0;rt user orang kota juga tingkahnya lucu kalau ke desa naik kerbau tanam padi dan panjat pohon rela2in bayar ratusan ribu per orang;['rt', 'user', 'orang', 'kota', 'juga', 'tingkahnya', 'lucu', 'kalau', 'ke', 'desa', 'naik', 'kerbau', 'tanam', 'padi', 'dan', 'panjat', 'pohon', 'rela2in', 'bayar', 'ratusan', 'ribu', 'per', 'orang'];['rt', 'user', 'orang', 'kota', 'juga', 'tingkahnya', 'lucu', 'kalau', 'ke', 'desa', 'naik', 'kerbau', 'tanam', 'padi', 'dan', 'panjat', 'pohon', 'rela2in', 'bayar', 'ratusan', 'ribu', 'per', 'orang'];rt user orang kota juga tingkahnya lucu kalau ke desa naik kerbau tanam padi dan panjat pohon rela2in bayar ratusan ribu per orang;rt user orang kota tingkah lucu kalau desa naik kerbau tanam padi panjat pohon rela2in bayar ratus ribu per orang
1;1;2022-10-30 14:27:02+00:00;Shopeeracunku1;@Omnoto2 @ZoelHelmiLubis1 @detikcom Emang lu kenal?;0;user user user emang lu kenal;['user', 'user', 'user', 'emang', 'lu', 'kenal'];['user', 'user', 'user', 'emang', 'lu', 'kenal'];user user user emang lu kenal;user user user emang lu kenal
2;2;2022-10-30 14:26:57+00:00;Irwan7189185522;@detikcom Ada nggak di Alqur'an dan Hadist?.Jika ada,knp harus tersinggung?.Seharusnya kita berbenah diri,krn yg me… https://t.co/C8bygCqPxg;0;user ada nggak di alqur an dan hadist jika ada knp harus tersinggung seharusnya kita berbenah diri krn yg me coc8bygcqpxg;['user', 'ada', 'nggak', 'di', 'alqur', 'an', 'dan', 'hadist', 'jika', 'ada', 'knp', 'harus', 'tersinggung', 'seharusnya', 'kita', 'berbenah', 'diri', 'krn', 'yg', 'me', 'coc8bygcqpxg'];['user', 'ada', 'nggak', 'di', 'alqur', 'an', 'dan', 'hadist', 'jika', 'ada', 'knp', 'harus', 'tersinggung', 'seharusnya', 'kita', 'berbenah', 'diri', 'krn', 'yg', 'me', 'coc8bygcqpxg'];user ada nggak di alqur an dan hadist jika ada knp harus tersinggung seharusnya kita berbenah diri krn yg me coc8bygcqpxg;user nggak alqur an hadist ada knp singgung kita benah diri krn yg me coc8bygcqpxg
3;3;2022-10-30 14:26:53+00:00;maudhyputri;@detikcom Norak bgt sih;0;user norak bgt sih;['user', 'norak', 'bgt', 'sih'];['user', 'norak', 'bgt', 'sih'];user norak bgt sih;user norak bgt sih
4;4;2022-10-30 14:26:50+00:00;sonofmomyndady;RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…;0;rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;rt user ga tau aja tingkah orang orang metropolitan mau bayar number ribu buat naik kebo nanam bibit padi bayar number
5;5;2022-10-30 14:26:49+00:00;adore_bil;RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.;0;rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;rt user warga jakarta heboh lihat sawah pisang goreng kopi klotok kaliurang sebut healing
6;6;2022-10-30 14:26:48+00:00;andradhandra;RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…;0;rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;rt user ga tau aja tingkah orang orang metropolitan mau bayar number ribu buat naik kebo nanam bibit padi bayar number
7;7;2022-10-30 14:26:36+00:00;excelicio;RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…;0;rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;rt user ga tau aja tingkah orang orang metropolitan mau bayar number ribu buat naik kebo nanam bibit padi bayar number
8;8;2022-10-30 14:26:22+00:00;yugyeomoi;Hadeh Gusti https://t.co/hInQNvFfOB;0;hadeh gusti cohinqnvffob;['hadeh', 'gusti', 'cohinqnvffob'];['hadeh', 'gusti', 'cohinqnvffob'];hadeh gusti cohinqnvffob;hadeh gusti cohinqnvffob
9;9;2022-10-30 14:26:21+00:00;masedoo;gua udah bilang, bisnis fnb disini kejem2 ke anak buah https://t.co/fYQ1Im1zdm;0;gua udah bilang bisnis fnb disini kejem2 ke anak buah cofyq1im1zdm;['gua', 'udah', 'bilang', 'bisnis', 'fnb', 'disini', 'kejem2', 'ke', 'anak', 'buah', 'cofyq1im1zdm'];['gua', 'udah', 'bilang', 'bisnis', 'fnb', 'disini', 'kejem2', 'ke', 'anak', 'buah', 'cofyq1im1zdm'];gua udah bilang bisnis fnb disini kejem2 ke anak buah cofyq1im1zdm;gua udah bilang bisnis fnb sini kejem2 anak buah cofyq1im1zdm
