created_at,full_text,username,preprocessing
Tue Sep 26 21:43:14 +0000 2023,@afvckado_ padahal tiktokshop tuh enak buat belanja sambil nonton-in live nya :( banyak juga org yg keeja jad live streamer di tiktokshop… knp pake dilarang sih,princeofmean,t i k t o k s h o p   t u h   e n a k   b e l a n j a   n o n t o n i n   l i v e   n y a b a n y a k   o r g   y g   e j a   j a d   l i v e   s t r e a m e r   t i k t o k s h o p   k n p   p a k e   l a r a n g   s i h
Tue Sep 26 16:55:27 +0000 2023,#tiktokshopditutup #tiktokshopdilarang #transformasidigital #pemberdayaanpedagang #umkmindonesia #lindungiumkm #solusiganjarpranowo #komunitasmilenialganjar #kolega,kolega_ganjar,
Tue Sep 26 16:27:26 +0000 2023,"setelah 2 bulan trial n error ngurus tiktokshop dari ads, konten, marketing, settingan produk, etc akhirnya 2 minggu terakhir mulai kelihatan transaksi naik banget. terus ini tiktokshop dilarang 😅 anak2 kantor pada ngakak aja sih lihat perkembangan berita 🤣",sereneerorra,s e t e l a h b u l a n   t r i a l   n   e r r o r   n g u r u s   t i k t o k s h o p   a d s   k o n t e n   m a r k e t i n g   s e t t i n g a n   p r o d u k   e t c   a k h i r n y a m i n g g u   t r a n s a k s i   b a n g e t   t i k t o k s h o p   d i l a r a n g a n a k   k a n t o r   n g a k a k   a j a   s i h   l i h a t   k e m b a n g   b e r i t a
Tue Sep 26 15:25:18 +0000 2023,pemerintah perlu edukasi dan fasilitasi masyarakat. ga mesti ”dilarang” tetapi ”diatur”. buat regulasinya. dan itu wewenang pemerintah sebagai lembaga sosial yang salah satu fungsinya ialah ”control sosial”. #tiktokshop,privacyjigeum1_,p e r i n t a h   e d u k a s i   f a s i l i t a s   m a s y a r a k a t   g a   m e s t i   l a r a n g   a t u r   r e g u l a s i   w e w e n a n g   p e r i n t a h   l e m b a g a   s o s i a l   s a l a h   f u n g s i   c o n t r o l   s o s i a l
Tue Sep 26 14:28:21 +0000 2023,klo tiktokshop udah dilarang tapi masih sepi juga gimana tuh? mau nyalahin apalagi wkwk,klmnopqruss,k l o   t i k t o k s h o p   u d a h   l a r a n g   s e p i   g i m a n a   t u h   n y a l a h i n   w k w k
Tue Sep 26 14:10:31 +0000 2023,"saya kira yang dilarang itu tiktok officialnya tidak boleh jualan dan jualan barang impor, kalo barang lokal di tiktokshop harusnya oke2 saja. kalo yang ditutup platformnya banyak lho yang mengais rezeki dari sini @kemendag rakyat kecil dari sini",DhaniWell,l a r a n g   t i k t o k   o f f i c i a l n y a   j u a l   j u a l   b a r a n g   i m p o r   k a l o   b a r a n g   l o k a l   t i k t o k s h o p   o k e   k a l o   t u t u p   p l a t f o r m   l h o   k a i s   r e z e k i   s i n i r a k y a t
Tue Sep 26 13:18:19 +0000 2023,"dalam permendag yang baru, nantinya media sosial (medsos) dilarang berjualan. ynr  selengkapnya https://t.co/zjgqilcuyl   #seputarinews #zulkiflihasan #tiktok #tiktokshop #pasartanahabang #umkm #pedagang https://t.co/uuhsq9kwfi",SeputariNews,p e r m e n d a g   m e d i a   s o s i a l   m e d s o s   l a r a n g   j u a l   y n r s e l e n g k a p n y a
Tue Sep 26 13:06:51 +0000 2023,"padahal tiktokshop dilarang kan bukan cuma gara2 tanah abang sepi, tp kan dia izinnya social media bukan ecommerce kayak oren sm ijo",hirzyeoj,t i k t o k s h o p   l a r a n g   g a r a   t a n a h   a b a n g   s e p i   t p   i z i n   s o c i a l   m e d i a   e c o m m e r c e   k a y a k   o r e n   s m   i j o
Tue Sep 26 12:15:24 +0000 2023,tanggal berapa tiktok shop ditutup pemerintah? dilarang jualan di tiktok mulai kapan?  #tiktokshop #tiktok #viraltiktok #belanjaditiktok https://t.co/jbrb0qredg,Portal_PWT,t a n g g a l   t i k t o k   s h o p   t u t u p   p e r i n t a h   l a r a n g   j u a l   t i k t o k
Tue Sep 26 11:39:36 +0000 2023,"tiktop shop dilarang, pelaku umkm di jombang beri respons positif. 👇  tiktop shop, sebuah platform social commerce, kini dilarang menjalankan aktivitas jual beli di indonesia. sebagai gantinya,… #ekbis #jombang #tiktokshop #umkm via @beritajatimcom https://t.co/cmtpgx9mff",beritajatimcom,t i k t o p   s h o p   l a r a n g   l a k u   u m k m   j o m b a n g   r e s p o n s   p o s i t i f t i k t o p   s h o p   p l a t f o r m   s o c i a l   c o m m e r c e   l a r a n g   j a l a n   a k t i v i t a s   j u a l   b e l i   i n d o n e s i a   g a n t i n y a v i a
Tue Sep 26 11:07:44 +0000 2023,ni tiktokshop udah resmi dilarang kah? padahal enak belanja disitu,pinchaen,n i   t i k t o k s h o p   u d a h   r e s m i   l a r a n g   k a h   e n a k   b e l a n j a   s i t u
Tue Sep 26 10:42:34 +0000 2023,"tiktok shop dilarang, ini tanggapan guru besar ekonomi bisnis ub malang. 👇  pemerintah resmi melarang layanan tiktok shop. akibat larangan tersebut membuat trending di twitter. -- ikuti kami di… #ekbis #gurubesarfebub #tiktokshop via @beritajatimcom https://t.co/d0lcz3ra84",beritajatimcom,t i k t o k   s h o p   l a r a n g   t a n g g a p   g u r u   e k o n o m i   b i s n i s   u b   m a l a n g p e m e r i n t a h   r e s m i   l a r a n g   l a y a n   t i k t o k   s h o p   a k i b a t   l a r a n g   t r e n d i n g   t w i t t e r i k u t i   v i a
Tue Sep 26 10:30:00 +0000 2023,"tiktok shop dilarang, richard lee pamit hingga beri potongan harga di hari terakhir berjualan  #tiktokshop #richardlee  https://t.co/go8jmam6rh",tribunnews,t i k t o k   s h o p   l a r a n g   r i c h a r d   l e e   p a m i t   p o t o n g   h a r g a   j u a l
Tue Sep 26 10:02:53 +0000 2023,"akhirnya, tiktok shop telah resmi dilarang oleh pemerintah ri untuk berdagang (jualan) mulai tanggal 25 september 2023 (9 rabi'ul awal 1445 h), akan tetapi masih diperbolehkan untuk melakukan promosi.  kalian setuju nggak?  #tiktokshop #inzaghismedia #inzaghisblog https://t.co/yl2i2ppjuy",iposhaf2917,t i k t o k   s h o p   r e s m i   l a r a n g   p e r i n t a h   r i   d a g a n g   j u a l   t a n g g a l s e p t e m b e r r a b i u l   a w a l h   b o l e h   p r o m o s i k a l i a n   t u j u   n g g a k
Tue Sep 26 08:50:01 +0000 2023,"tak hanya tiktok, pemerintah bakal larang semua medsos untuk transaksi jualan, inilah alasannya  #tiktok #tiktokshop #tiktokshopdilarang   https://t.co/7usbadbvj3 lewat @tribunnews",tribunkaltim,t i k t o k   p e r i n t a h   l a r a n g   m e d s o s   t r a n s a k s i   j u a l   a l a s a n n y a l e w a t
